"""bin""",swScore,milliDiv,milliDel,milliIns,genoName,genoStart,genoEnd,genoLeft,strand,repName,repClass,repFamily,repStart,repEnd,repLeft,id
1032,2385,133,52,8,chr13,58647258,58647660,-56522218,+,MSTA,LTR,ERVL-MaLR,1,420,-8,1
1032,437,304,129,14,chr13,58647993,58648210,-56521668,-,MIR,SINE,MIR,-1,261,20,1
1032,540,320,35,40,chr13,58649930,58650132,-56519746,+,LTR16A,LTR,ERVL,1,201,-250,1
1032,308,322,86,17,chr13,58650141,58650315,-56519563,+,MLT1J-int,LTR,ERVL-MaLR,105,290,-1097,1
1032,384,358,69,24,chr13,58650532,58650778,-56519100,+,MIRb,SINE,MIR,4,260,-8,1
1032,231,358,133,0,chr13,58652109,58652311,-56517567,-,MIR,SINE,MIR,-4,264,25,1
1032,874,183,0,65,chr13,58652810,58653026,-56516852,-,L1MA9,LINE,L1,-10,6302,6101,1
1032,1075,200,0,13,chr13,58653027,58653255,-56516623,+,L1MA9,LINE,L1,5894,6118,-194,1
1032,267,280,49,20,chr13,58653755,58653857,-56516021,+,HAL1b,LINE,L1,1247,1351,-658,1
1032,229,259,0,17,chr13,58653863,58653922,-56515956,+,(TCCA)n,Simple_repeat,Simple_repeat,4,61,0,1
1032,348,304,102,54,chr13,58654063,58654435,-56515443,+,HAL1b,LINE,L1,1546,1935,-74,1
1032,852,107,36,0,chr13,58654451,58654563,-56515315,+,AluJo,SINE,Alu,1,116,-196,1
1032,29,47,0,0,chr13,58654595,58654638,-56515240,+,AT_rich,Low_complexity,Low_complexity,1,43,0,1
1032,406,281,14,49,chr13,58655002,58655144,-56514734,-,L2a,LINE,L2,-1,3425,3289,1
1032,2003,197,26,88,chr13,58656634,58657180,-56512698,+,MER67D,LTR,ERV1,3,514,0,1
1032,240,179,39,0,chr13,58658095,58658173,-56511705,+,(TA)n,Simple_repeat,Simple_repeat,2,82,0,1
1032,24,77,0,0,chr13,58658282,58658334,-56511544,+,AT_rich,Low_complexity,Low_complexity,1,52,0,1
1032,270,339,96,8,chr13,58659279,58659404,-56510474,-,MIR,SINE,MIR,-120,142,7,1
1032,358,345,94,30,chr13,58660544,58660903,-56508975,-,L2c,LINE,L2,-12,3414,2991,1
1032,236,350,94,106,chr13,58661061,58661336,-56508542,-,LTR67B,LTR,ERVL,-216,404,133,1
1032,317,309,179,18,chr13,58661869,58662093,-56507785,-,ERVL-E-int,LTR,ERVL,-2645,3022,2763,1
1032,322,337,104,43,chr13,58662682,58662893,-56506985,-,LTR67B,LTR,ERVL,-390,230,7,1
1032,258,250,27,27,chr13,58663364,58663475,-56506403,+,L1MD,LINE,L1,5099,5209,-937,1
1032,2725,190,66,40,chr13,58663462,58663814,-56506064,+,L1MA7,LINE,L1,5593,5948,-343,1
1032,2153,123,7,0,chr13,58663814,58664106,-56505772,+,AluSp,SINE,Alu,1,294,-19,1
1032,2725,190,66,40,chr13,58664106,58664434,-56505444,+,L1MA7,LINE,L1,5949,6291,0,1
1032,1988,251,60,46,chr13,58664446,58665232,-56504646,+,L1ME1,LINE,L1,5198,5991,-188,1
1032,391,153,126,23,chr13,58665342,58665399,-56504479,-,L1MB1,LINE,L1,-110,6224,6170,1
1032,432,0,0,0,chr13,58665399,58665447,-56504431,+,(TG)n,Simple_repeat,Simple_repeat,1,48,0,1
1032,1295,213,56,19,chr13,58665447,58665755,-56504123,-,L1MB1,LINE,L1,-165,6169,5795,1
