bin,swScore,milliDiv,milliDel,milliIns,genoName,genoStart,genoEnd,genoLeft,strand,repName,repClass,repFamily,repStart,repEnd,repLeft,id
640,4228,168,54,88,chrY,7242839,7243323,-49984092,-,L1MC1,LINE,L1,0,6333,5849,4
640,1637,215,10,0,chrY,7243323,7243616,-49983799,-,AluJo,SINE,Alu,-8,304,9,4
640,4228,168,54,88,chrY,7243616,7244085,-49983330,-,L1MC1,LINE,L1,-485,5848,5414,4
640,680,301,113,33,chrY,7244088,7244295,-49983120,-,L1ME3E,LINE,L1,-297,5945,5728,4
640,1960,184,30,22,chrY,7244295,7244656,-49982759,+,THE1B,LTR,ERVL-MaLR,1,364,0,4
640,680,301,113,33,chrY,7244656,7244994,-49982421,-,L1ME3E,LINE,L1,-515,5727,5351,4
640,19,147,0,75,chrY,7245013,7245066,-49982349,+,(TTAT)n,Simple_repeat,Simple_repeat,1,53,0,4
640,1321,174,9,43,chrY,7245067,7245302,-49982113,-,AluJo,SINE,Alu,-49,263,37,4
640,502,272,80,10,chrY,7245324,7245505,-49981910,-,L1ME3E,LINE,L1,-2066,4080,3896,4
640,2148,106,7,0,chrY,7245505,7245788,-49981627,+,AluSc,SINE,Alu,1,285,-24,4
640,304,301,63,89,chrY,7245788,7245865,-49981550,-,L1ME3E,LINE,L1,-2247,3899,3829,4
640,546,296,70,68,chrY,7245896,7246118,-49981297,-,L1M5,LINE,L1,-2436,3710,3479,4
640,2539,107,5,14,chrY,7246118,7246464,-49980951,-,L1PA8,LINE,L1,-1,6171,5827,4
640,4994,102,118,1,chrY,7246464,7247194,-49980221,-,LTR12,LTR,ERV1,0,826,1,4
640,2539,107,5,14,chrY,7247194,7247217,-49980198,-,L1PA8,LINE,L1,-346,5826,5805,4
640,546,296,70,68,chrY,7247217,7247346,-49980069,-,L1M5,LINE,L1,-2668,3478,3363,4
640,2116,137,7,10,chrY,7247346,7247652,-49979763,-,AluSx1,SINE,Alu,-7,305,1,4
640,546,296,70,68,chrY,7247652,7247799,-49979616,-,L1M5,LINE,L1,-2784,3362,3210,4
640,1670,157,73,0,chrY,7247920,7248200,-49979215,+,AluSx1,SINE,Alu,1,302,-10,4
640,311,245,73,42,chrY,7248422,7248635,-49978780,-,L1M5,LINE,L1,-2978,3168,2949,4
640,863,229,32,0,chrY,7249344,7249527,-49977888,-,MER2,DNA,TcMar-Tigger,0,345,157,4
640,27535,32,2,1,chrY,7249559,7255517,-49971898,-,L1PA2,LINE,L1,-4,6151,183,4
640,1140,147,10,30,chrY,7255517,7255714,-49971701,-,AluJr,SINE,Alu,-22,290,98,4
640,1353,112,0,53,chrY,7255714,7255920,-49971495,-,AluSz6,SINE,Alu,-117,195,1,4
640,885,154,65,0,chrY,7256221,7256364,-49971051,+,AluJo,SINE,Alu,147,299,-13,4
640,632,219,7,28,chrY,7256614,7256755,-49970660,-,MLT1C,LTR,ERVL-MaLR,0,467,330,4
640,2669,198,36,38,chrY,7256757,7256882,-49970533,-,LTR39,LTR,ERV1,-28,755,641,4
640,1837,175,3,0,chrY,7256882,7257174,-49970241,+,AluJb,SINE,Alu,6,298,-14,4
640,2669,198,36,38,chrY,7257174,7257578,-49969837,-,LTR39,LTR,ERV1,-143,640,227,4
640,38,152,0,0,chrY,7257578,7257645,-49969770,+,(TCCT)n,Simple_repeat,Simple_repeat,1,67,0,4
640,382,186,236,0,chrY,7257646,7257743,-49969672,-,AluSq10,SINE,Alu,-15,298,172,4
640,3481,114,9,11,chrY,7257759,7258283,-49969132,-,LTR10G,LTR,ERV1,0,523,1,4
640,1076,83,0,0,chrY,7258292,7258424,-49968991,-,AluSz,SINE,Alu,-179,133,2,4
640,843,151,38,44,chrY,7258425,7258483,-49968932,-,LTR39,LTR,ERV1,-554,229,175,4
640,2019,138,3,10,chrY,7258483,7258788,-49968627,-,AluSq2,SINE,Alu,-7,306,4,4
640,843,151,38,44,chrY,7258788,7258888,-49968527,-,LTR39,LTR,ERV1,-609,174,72,4
640,263,207,0,17,chrY,7258876,7258935,-49968480,-,MER61B,LTR,ERV1,-64,363,306,4
640,437,156,72,32,chrY,7258930,7259023,-49968392,-,LTR39,LTR,ERV1,-686,97,1,4
640,2364,113,0,0,chrY,7259024,7259351,-49968064,+,MER41B,LTR,ERV1,1,327,-307,4
640,1608,159,55,13,chrY,7259365,7259664,-49967751,+,MER61A,LTR,ERV1,30,341,0,4
640,1067,106,0,0,chrY,7259664,7259798,-49967617,+,MER41B,LTR,ERV1,322,455,-179,4
640,858,191,0,0,chrY,7259801,7259948,-49967467,+,AluSx3,SINE,Alu,164,310,-1,4
640,2137,118,3,0,chrY,7259963,7260250,-49967165,+,AluSx1,SINE,Alu,2,289,-23,4
640,1262,156,5,5,chrY,7260258,7260458,-49966957,+,MER41B,LTR,ERV1,435,634,0,4
640,944,233,93,55,chrY,7260472,7260580,-49966835,-,MLT1C,LTR,ERVL-MaLR,-145,322,194,4
640,54,0,0,0,chrY,7260580,7260626,-49966789,+,(GT)n,Simple_repeat,Simple_repeat,1,46,0,4
640,944,233,93,55,chrY,7260626,7260762,-49966653,-,MLT1C,LTR,ERVL-MaLR,-274,193,58,4
640,3510,127,108,4,chrY,7260762,7261046,-49966369,+,MER41B,LTR,ERV1,4,348,-286,4
640,30,77,0,0,chrY,7261046,7261088,-49966327,+,(CCCTAA)n,Simple_repeat,Simple_repeat,1,42,0,4
640,3510,127,108,4,chrY,7261088,7261366,-49966049,+,MER41B,LTR,ERV1,349,632,-2,4
640,944,233,93,55,chrY,7261366,7261429,-49965986,-,MLT1C,LTR,ERVL-MaLR,-410,57,1,4
640,180,176,0,0,chrY,7261578,7261612,-49965803,+,MER5B,DNA,hAT-Charlie,13,46,-132,4
640,1754,171,3,3,chrY,7261670,7261957,-49965458,-,AluSz6,SINE,Alu,-21,291,5,4
640,1034,201,127,48,chrY,7262048,7262316,-49965099,+,AluJo,SINE,Alu,1,292,-20,4
640,4270,58,14,16,chrY,7262958,7263517,-49963898,+,LTR6B,LTR,ERV1,1,558,0,4
640,4165,120,90,62,chrY,7263827,7264768,-49962647,+,LTR12D,LTR,ERV1,409,1579,0,4
640,1888,116,39,7,chrY,7264774,7265045,-49962370,+,AluSx,SINE,Alu,3,283,-29,4
640,38,0,0,0,chrY,7265045,7265080,-49962335,+,(AAC)n,Simple_repeat,Simple_repeat,1,35,0,4
640,1664,147,0,12,chrY,7265783,7266042,-49961373,+,AluSx,SINE,Alu,2,257,-55,4
